Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4
Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V)
02/02/2022 08:35:30 am,0.049,-2.228E-4,02/02/2022 08:36:41 am,0.049,9.613E-4,02/02/2022 08:40:46 am,0.049,2.655E-4,02/02/2022 08:42:21 am,0.049,8.270E-4
02/02/2022 08:35:30 am,0.050,0.002,02/02/2022 08:36:41 am,0.050,0.002,02/02/2022 08:40:46 am,0.050,0.001,02/02/2022 08:42:21 am,0.050,8.270E-4
02/02/2022 08:35:30 am,0.051,0.001,02/02/2022 08:36:41 am,0.051,6.805E-4,02/02/2022 08:40:46 am,0.051,-0.001,02/02/2022 08:42:21 am,0.051,0.002
02/02/2022 08:35:30 am,0.052,7.050E-4,02/02/2022 08:36:41 am,0.052,-1.862E-4,02/02/2022 08:40:46 am,0.052,-6.866E-4,02/02/2022 08:42:21 am,0.052,1.312E-4
02/02/2022 08:35:30 am,0.053,7.416E-4,02/02/2022 08:36:41 am,0.053,0.001,02/02/2022 08:40:46 am,0.053,-1.862E-4,02/02/2022 08:42:21 am,0.053,0.001
02/02/2022 08:35:30 am,0.054,-4.913E-4,02/02/2022 08:36:41 am,0.054,9.125E-4,02/02/2022 08:40:46 am,0.054,1.190E-4,02/02/2022 08:42:21 am,0.054,0.002
02/02/2022 08:35:30 am,0.055,0.001,02/02/2022 08:36:41 am,0.055,-0.001,02/02/2022 08:40:46 am,0.055,-3.693E-4,02/02/2022 08:42:21 am,0.055,3.357E-5
02/02/2022 08:35:30 am,0.056,5.951E-4,02/02/2022 08:36:41 am,0.056,5.463E-4,02/02/2022 08:40:46 am,0.056,0.001,02/02/2022 08:42:21 am,0.056,6.561E-4
02/02/2022 08:35:30 am,0.057,5.585E-4,02/02/2022 08:36:41 am,0.057,0.001,02/02/2022 08:40:46 am,0.057,0.001,02/02/2022 08:42:21 am,0.057,9.003E-4
02/02/2022 08:35:30 am,0.058,0.002,02/02/2022 08:36:41 am,0.058,4.852E-4,02/02/2022 08:40:46 am,0.058,-2.472E-4,02/02/2022 08:42:21 am,0.058,4.730E-4
02/02/2022 08:35:30 am,0.059,4.974E-4,02/02/2022 08:36:41 am,0.059,-2.228E-4,02/02/2022 08:40:46 am,0.059,-5.280E-4,02/02/2022 08:42:21 am,0.059,8.759E-4
