Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4
Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V)
04/23/2024 01:21:35 pm,0.043,1.0E-6,04/23/2024 01:21:47 pm,0.043,1.3E-6,04/23/2024 01:21:57 pm,0.043,1.2E-6,04/23/2024 01:22:05 pm,0.043,1.0E-6
04/23/2024 01:21:35 pm,0.044,9.2E-7,04/23/2024 01:21:47 pm,0.044,1.2E-6,04/23/2024 01:21:57 pm,0.044,1.1E-6,04/23/2024 01:22:05 pm,0.044,1.3E-6
04/23/2024 01:21:35 pm,0.045,1.1E-6,04/23/2024 01:21:47 pm,0.045,1.3E-6,04/23/2024 01:21:57 pm,0.045,1.3E-6,04/23/2024 01:22:05 pm,0.045,1.1E-6
04/23/2024 01:21:35 pm,0.046,1.1E-6,04/23/2024 01:21:47 pm,0.046,1.2E-6,04/23/2024 01:21:57 pm,0.046,1.3E-6,04/23/2024 01:22:05 pm,0.046,1.2E-6
04/23/2024 01:21:35 pm,0.047,8.6E-7,04/23/2024 01:21:47 pm,0.047,1.2E-6,04/23/2024 01:21:57 pm,0.047,1.2E-6,04/23/2024 01:22:05 pm,0.047,1.1E-6
04/23/2024 01:21:35 pm,0.048,9.0E-7,04/23/2024 01:21:47 pm,0.048,1.2E-6,04/23/2024 01:21:57 pm,0.048,9.6E-7,04/23/2024 01:22:05 pm,0.048,1.2E-6
04/23/2024 01:21:35 pm,0.049,1.1E-6,04/23/2024 01:21:47 pm,0.049,1.3E-6,04/23/2024 01:21:57 pm,0.049,1.1E-6,04/23/2024 01:22:05 pm,0.049,1.1E-6
04/23/2024 01:21:35 pm,0.050,9.5E-7,04/23/2024 01:21:47 pm,0.050,1.1E-6,04/23/2024 01:21:57 pm,0.050,1.3E-6,04/23/2024 01:22:05 pm,0.050,1.1E-6
04/23/2024 01:21:35 pm,0.051,9.6E-7,04/23/2024 01:21:47 pm,0.051,1.2E-6,04/23/2024 01:21:57 pm,0.051,1.4E-6,04/23/2024 01:22:05 pm,0.051,1.1E-6
04/23/2024 01:21:35 pm,0.052,1.0E-6,04/23/2024 01:21:47 pm,0.052,1.2E-6,04/23/2024 01:21:57 pm,0.052,1.4E-6,04/23/2024 01:22:05 pm,0.052,9.0E-7
